SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,LCS_MAX,DAYS OFFLINE,DAYS SINCE VISIT,DAYS OFFLINE (LIVE),CATEGORY
17010091,4.97,1.0,48.0,47.0,0.11,14.0,200.0,277.0,209.0,
17010091,2.71,1.0,76.0,984.0,1.73,14.0,200.0,277.0,209.0,
17010091,3.22,1.0,501.0,38.0,1.73,14.0,200.0,277.0,209.0,
17010091,3.22,1.0,962.0,962.0,1.74,14.0,200.0,277.0,209.0,
17010091,3.11,1.0,983.0,984.0,1.74,14.0,200.0,277.0,209.0,
17010091,2.61,1.0,51.0,51.0,1.46,14.0,200.0,277.0,209.0,
17010091,0.33,1.0,87.0,87.0,0.33,14.0,200.0,277.0,209.0,
17010091,1.18,1.0,999.0,998.0,1.18,15.0,200.0,277.0,209.0,
17010091,1.79,1.0,9.0,9.0,1.18,14.0,200.0,277.0,209.0,
17010091,1.79,1.0,801.0,840.0,0.82,15.0,200.0,277.0,209.0,
17010091,8.27,1.0,801.0,999.0,7.89,15.0,200.0,277.0,209.0,
17010091,8.27,1.0,922.0,922.0,7.89,14.0,200.0,277.0,209.0,
17010091,3.73,1.0,981.0,981.0,3.59,15.0,200.0,277.0,209.0,
17010091,3.73,1.0,59.0,60.0,3.59,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,117.0,117.0,0.15,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,117.0,117.0,0.15,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,966.0,966.0,1.39,15.0,200.0,277.0,209.0,
17010091,1.7,1.0,947.0,946.0,1.67,15.0,200.0,277.0,209.0,
17010091,3.23,1.0,1.0,1.0,0.01,15.0,200.0,277.0,209.0,
17010091,3.23,1.0,1.0,1.0,0.01,15.0,200.0,277.0,209.0,
17010091,5.23,1.0,99.0,99.0,4.98,15.0,200.0,277.0,209.0,
17010091,6.17,1.0,881.0,921.0,6.13,15.0,200.0,277.0,209.0,
17010091,3.37,1.0,74.0,4366.0,3.36,15.0,200.0,277.0,209.0,
17010091,6.76,1.0,925.0,934.0,4.27,15.0,200.0,277.0,209.0,
17010091,6.76,1.0,4385.0,5476.0,4.27,15.0,200.0,277.0,209.0,
17010091,4.32,1.0,99.0,941.0,3.82,15.0,200.0,277.0,209.0,
17010091,6.03,1.0,898.0,942.0,4.77,15.0,200.0,277.0,209.0,
17010091,6.03,1.0,980.0,980.0,4.77,15.0,200.0,277.0,209.0,
17010091,2.27,1.0,84.0,629.0,2.25,15.0,200.0,277.0,209.0,
17010091,1.68,1.0,790.0,790.0,0.74,15.0,200.0,277.0,209.0,
17010091,1.68,1.0,790.0,790.0,0.74,15.0,200.0,277.0,209.0,
17010091,0.59,1.0,4.0,4.0,0.01,15.0,200.0,277.0,209.0,
17010091,0.83,1.0,8.0,8.0,0.08,15.0,200.0,277.0,209.0,
17010091,2.21,1.0,0.0,3.0,0.01,15.0,200.0,277.0,209.0,
17010091,2.21,1.0,4.0,4.0,0.01,15.0,200.0,277.0,209.0,
17010091,4.97,1.0,48.0,47.0,0.11,14.0,200.0,277.0,209.0,
17010091,2.71,1.0,76.0,984.0,1.73,14.0,200.0,277.0,209.0,
17010091,3.22,1.0,501.0,38.0,1.73,14.0,200.0,277.0,209.0,
17010091,3.22,1.0,962.0,962.0,1.74,14.0,200.0,277.0,209.0,
17010091,3.11,1.0,983.0,984.0,1.74,14.0,200.0,277.0,209.0,
17010091,2.61,1.0,51.0,51.0,1.46,14.0,200.0,277.0,209.0,
17010091,0.33,1.0,87.0,87.0,0.33,14.0,200.0,277.0,209.0,
17010091,1.18,1.0,999.0,998.0,1.18,15.0,200.0,277.0,209.0,
17010091,1.79,1.0,9.0,9.0,1.18,14.0,200.0,277.0,209.0,
17010091,1.79,1.0,801.0,840.0,0.82,15.0,200.0,277.0,209.0,
17010091,8.27,1.0,801.0,999.0,7.89,15.0,200.0,277.0,209.0,
17010091,8.27,1.0,922.0,922.0,7.89,14.0,200.0,277.0,209.0,
17010091,3.73,1.0,981.0,981.0,3.59,15.0,200.0,277.0,209.0,
17010091,3.73,1.0,59.0,60.0,3.59,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,117.0,117.0,0.15,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,117.0,117.0,0.15,15.0,200.0,277.0,209.0,
17010091,4.45,1.0,966.0,966.0,1.39,15.0,200.0,277.0,209.0,
17010091,1.7,1.0,947.0,946.0,1.67,15.0,200.0,277.0,209.0,
17010091,3.23,1.0,1.0,1.0,0.01,15.0,200.0,277.0,209.0,
17010091,3.23,1.0,1.0,1.0,0.01,15.0,200.0,277.0,209.0,
17010091,5.23,1.0,99.0,99.0,4.98,15.0,200.0,277.0,209.0,
17010091,6.17,1.0,881.0,921.0,6.13,15.0,200.0,277.0,209.0,
17010091,3.37,1.0,74.0,4366.0,3.36,15.0,200.0,277.0,209.0,
17010091,6.76,1.0,925.0,934.0,4.27,15.0,200.0,277.0,209.0,
17010091,6.76,1.0,4385.0,5476.0,4.27,15.0,200.0,277.0,209.0,
17010091,4.32,1.0,99.0,941.0,3.82,15.0,200.0,277.0,209.0,
17010091,6.03,1.0,898.0,942.0,4.77,15.0,200.0,277.0,209.0,
17010091,6.03,1.0,980.0,980.0,4.77,15.0,200.0,277.0,209.0,
17010091,2.27,1.0,84.0,629.0,2.25,15.0,200.0,277.0,209.0,
17010091,1.68,1.0,790.0,790.0,0.74,15.0,200.0,277.0,209.0,
17010091,1.68,1.0,790.0,790.0,0.74,15.0,200.0,277.0,209.0,
17010091,0.59,1.0,4.0,4.0,0.01,15.0,200.0,277.0,209.0,
17010091,0.83,1.0,8.0,8.0,0.08,15.0,200.0,277.0,209.0,
17010091,2.21,1.0,0.0,3.0,0.01,15.0,200.0,277.0,209.0,
17010091,2.21,1.0,4.0,4.0,0.01,15.0,200.0,277.0,209.0,
17020139,5.66,1.0,94.0,96.0,0.98,15.0,1525.0,656.0,1534.0,
17020142,2.48,1.0,94.0,94.0,0.24,7.0,104.0,105.0,113.0,
17020142,2.48,1.0,94.0,94.0,0.12,15.0,104.0,105.0,113.0,
17020142,2.64,1.0,4.0,48.0,0.43,15.0,104.0,105.0,113.0,
17020142,2.64,1.0,475.0,48.0,0.43,15.0,104.0,105.0,113.0,
17020142,0.67,1.0,8.0,67.0,0.33,15.0,104.0,105.0,113.0,
17020142,0.67,1.0,9.0,9.0,0.11,15.0,104.0,105.0,113.0,
17020142,2.05,1.0,9.0,9.0,2.05,15.0,104.0,105.0,113.0,
17020142,2.05,1.0,99.0,99.0,2.05,15.0,104.0,105.0,113.0,
17020142,2.14,1.0,915.0,917.0,2.13,15.0,104.0,105.0,113.0,
17020142,2.82,1.0,987.0,988.0,2.77,15.0,104.0,105.0,113.0,
17020142,2.82,1.0,987.0,988.0,2.77,15.0,104.0,105.0,113.0,
17020142,2.4,1.0,94.0,94.0,2.26,15.0,104.0,105.0,113.0,
17020142,1.62,1.0,93.0,93.0,1.62,15.0,104.0,105.0,113.0,
17020142,1.62,1.0,63.0,63.0,1.62,15.0,104.0,105.0,113.0,
17020142,2.3,1.0,703.0,703.0,2.24,15.0,104.0,105.0,113.0,
17020142,2.3,1.0,703.0,703.0,2.24,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,93.0,93.0,1.7,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,573.0,573.0,1.7,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,76.0,77.0,1.7,15.0,104.0,105.0,113.0,
17020142,2.13,1.0,96.0,93.0,2.05,7.0,104.0,105.0,113.0,
17020142,2.13,1.0,96.0,866.0,2.05,7.0,104.0,105.0,113.0,
17020142,1.1,1.0,53.0,784.0,1.02,7.0,104.0,105.0,113.0,
17020142,1.08,1.0,253.0,784.0,0.65,7.0,104.0,105.0,113.0,
17020142,0.24,1.0,22.0,77.0,0.19,7.0,104.0,105.0,113.0,
17020142,0.75,1.0,99.0,62.0,0.35,7.0,104.0,105.0,113.0,
17020142,0.93,1.0,58.0,680.0,0.46,7.0,104.0,105.0,113.0,
17020142,0.93,1.0,276.0,680.0,0.46,15.0,104.0,105.0,113.0,
17020142,0.93,1.0,41.0,680.0,0.47,7.0,104.0,105.0,113.0,
17020142,0.76,1.0,327.0,585.0,0.47,7.0,104.0,105.0,113.0,
17020142,1.36,1.0,36.0,90.0,0.23,7.0,104.0,105.0,113.0,
17020142,0.42,1.0,7.0,7.0,0.05,15.0,104.0,105.0,113.0,
17020142,9.92,1.0,621.0,621.0,0.98,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,81.0,81.0,0.58,15.0,104.0,105.0,113.0,
17020142,10.62,1.0,321.0,321.0,0.58,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,4.0,4.0,0.11,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,9.97,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.97,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.91,1.0,1.0,1.0,0.08,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,0.0,0.0,0.09,15.0,104.0,105.0,113.0,
17020142,9.94,1.0,1.0,1.0,0.12,15.0,104.0,105.0,113.0,
17020142,9.99,1.0,3.0,3.0,0.12,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,5.0,5.0,0.09,15.0,104.0,105.0,113.0,
17020142,6.3,1.0,5.0,5.0,0.09,15.0,104.0,105.0,113.0,
17020142,9.99,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,269.0,269.0,0.09,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,31.0,31.0,0.09,15.0,104.0,105.0,113.0,
17020142,0.07,1.0,31.0,31.0,0.04,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020142,0.34,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020142,2.48,1.0,94.0,94.0,0.24,7.0,104.0,105.0,113.0,
17020142,2.48,1.0,94.0,94.0,0.12,15.0,104.0,105.0,113.0,
17020142,2.64,1.0,4.0,48.0,0.43,15.0,104.0,105.0,113.0,
17020142,2.64,1.0,475.0,48.0,0.43,15.0,104.0,105.0,113.0,
17020142,0.67,1.0,8.0,67.0,0.33,15.0,104.0,105.0,113.0,
17020142,0.67,1.0,9.0,9.0,0.11,15.0,104.0,105.0,113.0,
17020142,2.05,1.0,9.0,9.0,2.05,15.0,104.0,105.0,113.0,
17020142,2.05,1.0,99.0,99.0,2.05,15.0,104.0,105.0,113.0,
17020142,2.14,1.0,915.0,917.0,2.13,15.0,104.0,105.0,113.0,
17020142,2.82,1.0,987.0,988.0,2.77,15.0,104.0,105.0,113.0,
17020142,2.82,1.0,987.0,988.0,2.77,15.0,104.0,105.0,113.0,
17020142,2.4,1.0,94.0,94.0,2.26,15.0,104.0,105.0,113.0,
17020142,1.62,1.0,93.0,93.0,1.62,15.0,104.0,105.0,113.0,
17020142,1.62,1.0,63.0,63.0,1.62,15.0,104.0,105.0,113.0,
17020142,2.3,1.0,703.0,703.0,2.24,15.0,104.0,105.0,113.0,
17020142,2.3,1.0,703.0,703.0,2.24,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,93.0,93.0,1.7,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,573.0,573.0,1.7,15.0,104.0,105.0,113.0,
17020142,1.87,1.0,76.0,77.0,1.7,15.0,104.0,105.0,113.0,
17020142,2.13,1.0,96.0,93.0,2.05,7.0,104.0,105.0,113.0,
17020142,2.13,1.0,96.0,866.0,2.05,7.0,104.0,105.0,113.0,
17020142,1.1,1.0,53.0,784.0,1.02,7.0,104.0,105.0,113.0,
17020142,1.08,1.0,253.0,784.0,0.65,7.0,104.0,105.0,113.0,
17020142,0.24,1.0,22.0,77.0,0.19,7.0,104.0,105.0,113.0,
17020142,0.75,1.0,99.0,62.0,0.35,7.0,104.0,105.0,113.0,
17020142,0.93,1.0,58.0,680.0,0.46,7.0,104.0,105.0,113.0,
17020142,0.93,1.0,276.0,680.0,0.46,15.0,104.0,105.0,113.0,
17020142,0.93,1.0,41.0,680.0,0.47,7.0,104.0,105.0,113.0,
17020142,0.76,1.0,327.0,585.0,0.47,7.0,104.0,105.0,113.0,
17020142,1.36,1.0,36.0,90.0,0.23,7.0,104.0,105.0,113.0,
17020142,0.42,1.0,7.0,7.0,0.05,15.0,104.0,105.0,113.0,
17020142,9.92,1.0,621.0,621.0,0.98,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,81.0,81.0,0.58,15.0,104.0,105.0,113.0,
17020142,10.62,1.0,321.0,321.0,0.58,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,4.0,4.0,0.11,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,9.97,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.97,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,2.0,2.0,0.06,15.0,104.0,105.0,113.0,
17020142,9.91,1.0,1.0,1.0,0.08,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,9.96,1.0,0.0,0.0,0.09,15.0,104.0,105.0,113.0,
17020142,9.94,1.0,1.0,1.0,0.12,15.0,104.0,105.0,113.0,
17020142,9.99,1.0,3.0,3.0,0.12,15.0,104.0,105.0,113.0,
17020142,9.93,1.0,5.0,5.0,0.09,15.0,104.0,105.0,113.0,
17020142,6.3,1.0,5.0,5.0,0.09,15.0,104.0,105.0,113.0,
17020142,9.99,1.0,1.0,1.0,0.07,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,269.0,269.0,0.09,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,31.0,31.0,0.09,15.0,104.0,105.0,113.0,
17020142,0.07,1.0,31.0,31.0,0.04,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020142,0.16,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020142,0.34,1.0,594.0,594.0,0.14,15.0,104.0,105.0,113.0,
17020151,8.8,1.0,984.0,983.0,8.73,3.0,38.0,12.0,47.0,
17020151,7.89,1.0,998.0,979.0,7.85,3.0,38.0,12.0,47.0,
17020151,4.7,1.0,981.0,995.0,4.65,3.0,38.0,12.0,47.0,
17020151,4.96,1.0,971.0,997.0,4.86,3.0,38.0,12.0,47.0,
17020151,2.3,1.0,967.0,973.0,2.3,3.0,38.0,12.0,47.0,
17020151,0.52,1.0,89.0,89.0,0.44,3.0,38.0,12.0,47.0,
17020151,0.76,1.0,67.0,67.0,0.75,3.0,38.0,12.0,47.0,
17020151,1.14,1.0,69.0,69.0,1.11,3.0,38.0,12.0,47.0,
17020151,0.83,1.0,85.0,87.0,0.3,3.0,38.0,12.0,47.0,
17020151,0.07,1.0,20.0,20.0,0.05,3.0,38.0,12.0,47.0,
17020151,0.5,1.0,99.0,90.0,0.49,3.0,38.0,12.0,47.0,
17020151,0.07,1.0,12.0,12.0,0.03,3.0,38.0,12.0,47.0,
17020151,0.68,1.0,89.0,72.0,0.39,3.0,38.0,12.0,47.0,
17020151,2.05,1.0,878.0,993.0,2.04,3.0,38.0,12.0,47.0,
17020151,0.33,1.0,6.0,6.0,0.1,3.0,38.0,12.0,47.0,
17020151,0.41,1.0,3.0,89.0,0.41,3.0,38.0,12.0,47.0,
17020151,0.83,1.0,75.0,97.0,0.78,3.0,38.0,12.0,47.0,
17020151,0.07,1.0,4.0,11.0,0.04,3.0,38.0,12.0,47.0,
17020151,0.07,1.0,20.0,26.0,0.07,3.0,38.0,12.0,47.0,
17020151,0.07,1.0,8.0,20.0,0.05,3.0,38.0,12.0,47.0,
17020151,1.56,1.0,74.0,55.0,0.29,3.0,38.0,12.0,47.0,
17020151,0.16,1.0,98.0,99.0,0.15,15.0,38.0,12.0,47.0,
17020151,2.56,1.0,987.0,987.0,2.56,15.0,38.0,12.0,47.0,
17020151,0.07,1.0,37.0,37.0,0.06,15.0,38.0,12.0,47.0,
17020151,0.07,1.0,17.0,18.0,0.04,15.0,38.0,12.0,47.0,
17020151,0.07,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,0.41,1.0,1.0,1.0,0.04,15.0,38.0,12.0,47.0,
17020151,0.41,1.0,52.0,52.0,0.16,15.0,38.0,12.0,47.0,
17020151,0.33,1.0,73.0,73.0,0.33,15.0,38.0,12.0,47.0,
17020151,0.55,1.0,52.0,52.0,0.52,15.0,38.0,12.0,47.0,
17020151,1.7,1.0,999.0,999.0,1.7,15.0,38.0,12.0,47.0,
17020151,0.07,1.0,18.0,18.0,0.02,15.0,38.0,12.0,47.0,
17020151,4.45,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,4.14,1.0,0.0,0.0,0.01,15.0,38.0,12.0,47.0,
17020151,4.02,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,7.38,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,0.16,1.0,37.0,36.0,0.05,15.0,38.0,12.0,47.0,
17020151,7.04,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,0.24,1.0,6.0,6.0,0.05,15.0,38.0,12.0,47.0,
17020151,9.96,1.0,0.0,0.0,0.01,15.0,38.0,12.0,47.0,
17020151,9.74,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,9.97,1.0,50.0,51.0,0.13,15.0,38.0,12.0,47.0,
17020151,0.16,1.0,126.0,126.0,0.15,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,14.49,1.0,369.0,369.0,0.62,15.0,38.0,12.0,47.0,
17020151,6.75,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,56.0,57.0,0.22,15.0,38.0,12.0,47.0,
17020151,12.73,1.0,3.0,3.0,0.0,15.0,38.0,12.0,47.0,
17020151,0.24,1.0,56.0,56.0,0.24,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,9.95,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
17020151,18.7,1.0,1.0,1.0,0.01,15.0,38.0,12.0,47.0,
17020151,9.96,1.0,34.0,34.0,0.05,15.0,38.0,12.0,47.0,
17020151,1.65,1.0,971.0,971.0,1.29,15.0,38.0,12.0,47.0,
17020151,6.89,1.0,971.0,971.0,1.29,15.0,38.0,12.0,47.0,
17020151,9.98,1.0,0.0,0.0,0.02,15.0,38.0,12.0,47.0,
17020151,7.01,1.0,413.0,413.0,0.61,15.0,38.0,12.0,47.0,
17020151,2.85,1.0,184.0,184.0,0.26,15.0,38.0,12.0,47.0,
17020151,18.66,1.0,0.0,0.0,0.0,15.0,38.0,12.0,47.0,
